theta,J
10.0,0.0006220475
9.994999,0.0006305614
9.989999,0.00063937204
9.984998,0.0006481146
9.979998,0.00065640203
9.974997,0.0006649813
9.969996,0.0006734714
9.964995,0.00068147696
9.959995,0.00068976573
9.954994,0.0006979469
9.949994,0.00070561364
9.944993,0.0007135577
9.939993,0.00072137464
9.934992,0.00072906015
9.929992,0.0007366104
9.924991,0.00074401655
9.91999,0.0007508565
9.914989,0.00075796107
9.909988,0.00076490606
9.904988,0.0007716899
9.899987,0.0007783092
9.894987,0.00078476197
9.889986,0.00079103897
9.884986,0.0007971374
9.879985,0.00080305804
9.874985,0.0008087973
9.869984,0.0008143511
9.864984,0.0008197219
9.8599825,0.0008249006
9.854981,0.00082989014
9.849981,0.0008351308
9.84498,0.0008397383
9.83998,0.0008441524
9.834979,0.000848377
9.829979,0.0008524079
9.824978,0.0008562474
9.819978,0.00086033193
9.814977,0.00086378644
9.809977,0.00086705614
9.8049755,0.00087056967
9.799975,0.0008734613
9.794974,0.0008761663
9.789974,0.000878689
9.784973,0.000881462
9.779972,0.0008836242
9.774972,0.0008860389
9.769971,0.0008878498
9.764971,0.0008894894
9.75997,0.00089138624
9.75497,0.00089269236
9.749969,0.000894254
9.744968,0.00089523813
9.739967,0.0008964805
9.734967,0.00089715153
9.729966,0.0008980845
9.724966,0.00089845853
9.719965,0.000899093
9.714964,0.0008991799
9.709964,0.00089952804
9.704963,0.00089934
9.699963,0.00089941407
9.694962,0.000899354
9.689961,0.0008987711
9.68496,0.000898451
9.67996,0.00089800375
9.674959,0.0008970493
9.669959,0.0008963564
9.664958,0.0008955435
9.659958,0.00089423603
9.654957,0.0008931886
9.649957,0.00089202425
9.644956,0.00089074485
9.639955,0.0008889918
9.634954,0.0008874907
9.629953,0.0008858801
9.624953,0.0008841593
9.619952,0.00088197645
9.614952,0.00088004034
9.609951,0.0008779998
9.604951,0.0008758489
9.59995,0.0008735933
9.59495,0.0008712292
9.589949,0.00086876366
9.584949,0.00086619065
9.579947,0.00086351327
9.574947,0.00086073147
9.569946,0.0008578459
9.564945,0.0008545392
9.559945,0.00085144903
9.554944,0.0008482551
9.549944,0.0008452677
9.544943,0.00084186293
9.539943,0.00083835877
9.534942,0.0008347519
9.529942,0.0008310436
9.5249405,0.00082723284
9.51994,0.0008233234
9.514939,0.0008193157
9.509939,0.0008152084
9.504938,0.0008110013
9.499937,0.0008069736
9.494937,0.00080257107
9.489936,0.00079807424
9.484936,0.00079348317
9.479935,0.00078880176
9.474935,0.0007842887
9.4699335,0.000779422
9.464933,0.00077446934
9.459932,0.0007694326
9.454932,0.000764557
9.449931,0.0007593499
9.444931,0.00075406814
9.43993,0.00074894266
9.43493,0.0007435033
9.429929,0.00073799276
9.424928,0.00073264044
9.419928,0.00072699215
9.414927,0.0007214999
9.409926,0.00071572413
9.404925,0.0007098905
9.399925,0.0007042137
9.394924,0.00069827016
9.389924,0.00069248275
9.384923,0.0006864444
9.379923,0.00068056176
9.374922,0.00067443773
9.369921,0.0006684731
9.364921,0.0006622804
9.3599205,0.0006562462
9.354919,0.0006501799
9.349918,0.00064390467
9.344918,0.0006377883
9.339917,0.0006316518
9.334917,0.00062532834
9.329916,0.00061916263
9.324916,0.00061298575
9.319915,0.0006066393
9.314915,0.00060045265
9.309914,0.0005942686
9.3049135,0.000588081
9.299912,0.00058174867
9.294912,0.0005755805
9.289911,0.00056941976
9.28491,0.0005632723
9.27991,0.0005571426
9.274909,0.00055089145
9.269909,0.0005448037
9.264908,0.00053873705
9.259908,0.0005326993
9.254907,0.00052668696
9.249907,0.0005207054
9.244905,0.000514757
9.239905,0.00050884066
9.234904,0.0005029591
9.229904,0.0004971179
9.224903,0.0004913145
9.219902,0.00048555163
9.214902,0.00047982932
9.209901,0.00047415087
9.204901,0.00046862138
